"Step","gallant-jazz-50 - Reward","whole-sun-49 - Reward","scarlet-snowball-48 - Reward"
"0","-1507.4474344546124","-1368.7675074571011","-1723.585816526964"
"1","-1091.0162390203282","-1329.820391945355","-1186.8036595947508"
"2","-1743.9052623485663","-1417.3089761405877","-1795.231718263501"
"3","-1513.2903096661187","-1767.8798589128141","-1232.6779380932007"
"4","-1083.8022953107632","-1395.6238459909316","-1781.6781821289096"
"5","-1736.2560900185342","-1806.0401786657017","-1762.8010300242288"
"6","-1399.66438803644","-1681.2422548838251","-1200.827114469524"
"7","-1333.1557184019384","-1606.6010769558998","-1781.4601888882014"
"8","-1393.586502171023","-1083.0367704377293","-953.3639201771228"
"9","-1109.4187774196448","-1441.293756439769","-1737.7028515832274"
"10","-1326.9293914261402","-1162.7092883694456","-1260.8724012965124"
"11","-1572.805440318419","-1478.3363736959777","-858.6804642066253"
"12","-1069.4452607517837","-1649.4832800430006","-1272.118618186267"
"13","-1524.5968052122973","-1304.9512089109296","-1155.526460839424"
"14","-1428.3828174378577","-1151.1379483318353","-973.0556867430162"
"15","-1291.4385881793978","-1482.1859404224913","-1163.1362269798906"
"16","-1285.1487646668545","-1168.5253663684198","-962.7688907266163"
"17","-645.271648171834","-1046.2991483617377","-1042.7335714976673"
"18","-1394.8203580045092","-865.888096290279","-1353.3343230599105"
"19","-960.6787257007894","-1101.6861010378152","-859.3448071183794"
"20","-1098.4478573613665","-1220.0327734472453","-969.6986201467674"
"21","-1284.169963576704","-971.655409111762","-1583.6119669772745"
"22","-1419.4245036122559","-779.3439279548702","-1468.9276077723823"
"23","-1145.63356463456","-1122.5872946513794","-1334.655695484695"
"24","-620.896610603594","-743.4845591766414","-765.2094313168549"
"25","-617.3295949902641","-939.8218512825927","-1238.7708423281276"
"26","-1222.2072841860602","-790.7494400016424","-1005.7822004921151"
"27","-368.2205762821809","-842.5504280601738","-895.967980542981"
"28","-1112.1082966035158","-511.05835211600186","-1147.7688357087955"
"29","-738.2126527069581","-634.4764862474137","-1100.1891599663309"
"30","-247.42403482957252","-379.7140199270052","-853.5465304390718"
"31","-640.0695152861509","-742.5803675816342","-855.6701377397093"
"32","-988.9899666971801","-253.308364621425","-508.97327260652526"
"33","-994.9987429104684","-634.8736858959721","-996.3797981564633"
"34","-1038.5698117378424","-121.8197951847826","-736.0703880898933"
"35","-121.63886293790631","-615.026654278416","-621.3489512910409"
"36","-869.9188627161307","-249.40632647932807","-1011.6697063492841"
"37","-1073.0484166711599","-372.05969548161386","-125.81691424325402"
"38","-124.30936700249387","-619.7134862633474","-124.36577442325864"
"39","-716.367521612195","-373.8695275227008","-239.5887835287034"
"40","-126.52222965820194","-123.44629734408855","-894.3760519349203"
"41","-0.8929087412025605","-862.1997271340089","-1352.2167732570003"
"42","-925.1456456510406","-482.6986848523718","-250.15895174806417"
"43","-496.0942536469977","-364.05356355139634","-1.0710859895874485"
"44","-1058.335395017558","-250.8434309724132","-125.37393920545436"
"45","-123.86184011918574","-772.3980171748874","-121.81253967933098"
"46","-371.878302529098","-0.753748082895409","-356.6810835069645"
"47","-248.23347416198337","-962.978665244682","-121.4768404621585"
"48","-606.517951810138","-0.8220186531340494","-127.02559258124339"
"49","-1.5111097275490957","-733.9915349338153","-126.59323187395242"
"50","-124.85684677446079","-126.61160147380727","-730.0611206246601"
"51","-479.8082847100355","-0.9686898579414708","-122.98228651413439"
"52","-126.03459759191124","-361.9488363809253","-234.83341322270846"
"53","-1289.6003862399643","-360.48919449040113","-244.1780046404139"
"54","-733.6799981764867","-1022.5858027035848","-245.23401223114527"
"55","-250.13522568457566","-245.6837277726886","-745.4030319457632"
"56","-126.88244275290998","-717.8349899830002","-125.32855692059432"
"57","-366.979833239877","-123.85322169777622","-362.4084733141734"
"58","-987.9029040109177","-126.51918693334923","-244.86072529006947"
"59","-126.56400013576484","-125.72001830847613","-235.16934060247576"
"60","-234.28921627818525","-736.3225859045626","-124.42996173630026"
"61","-359.60718243730213","-245.42519196877646","-242.16186080292238"
"62","-480.3482483946308","-901.3738881928023","-237.23204039668"
"63","-361.18040092355267","-242.26906435596067","-243.58944310182386"
"64","-126.39461422640106","-363.209537568953","-469.77051184818174"
"65","-1.4188653566448866","-362.9234431470242","-121.72442491777068"
"66","-121.48339685026905","-121.99446684952098","-126.54467155382714"
"67","-125.08729731601655","-758.9148549422006","-620.1125935753583"
"68","-368.43007720755287","-603.4629357765995","-591.6425395243759"
"69","-245.3861156280137","-742.4471503802384","-238.0485250785491"
"70","-126.87693648956338","-121.24764680304072","-120.76266028990185"
"71","-127.3247796901256","-618.1962705407259","-251.07955210943507"
"72","-740.1793297283326","-240.95760095709468","-590.7462600506879"
"73","-477.2917330830815","-122.02981459947132","-125.64237876868448"
"74","-250.2869949225074","-126.13973692886712","-357.1279153878531"
"75","-126.52412322991484","-365.8654386608434","-125.52253463977249"
"76","-249.0394840703672","-750.7536355848999","-351.44032416656415"
"77","-374.3194147595046","-121.60916210824423","-123.7280761312089"
"78","-799.6329155499478","-966.5991188340737","-241.73603867838787"
"79","-128.12935583746483","-479.36914229492334","-125.10722685224538"
"80","-240.15879695370327","-869.88249605427","-760.3552544841629"
"81","-606.4229095550924","-126.40122391360758","-126.15268831744051"
"82","-366.7885168534799","-485.05586057508106","-868.2668268713544"
"83","-2.2443387506372865","-668.5659605408877","-126.92393258865616"
"84","-762.7564228613464","-123.62253975773667","-249.53400653565348"
"85","-127.80606165831338","-235.0715664882357","-123.5111739595756"
"86","-363.59760524327663","-126.03360816716227","-964.2201878559458"
"87","-245.88726817835513","-238.90291407726727","-239.29965538084878"
"88","-252.61479807317733","-123.50174355914297","-125.16594346486384"
"89","-150.56531325885777","-123.45620483387897","-120.63181460371449"
"90","-376.3780675475113","-612.1526277623375","-123.46581944122842"
"91","-603.0909305640891","-125.89024038686775","-247.00326067952128"
"92","-244.52024200077565","-236.74194717202246","-485.925361096398"
"93","-539.9632246702932","-123.02816271230004","-251.0335223333369"
"94","-608.8065835323217","-126.89359763706676","-251.69572209955857"
"95","-359.46945487267317","-236.59373006170284","-631.8675431446825"
"96","-279.61692961693126","-246.51674020330367","-126.0320993976593"
"97","-607.279467546911","-123.54655435496976","-358.4280194795308"
"98","-523.2361691214063","-126.31583498557822","-346.4812373698662"
"99","-252.66498349053552","-886.3744512155583","-722.3988202664649"
"100","-378.8365234870072","-477.4602110253436","-491.65237685014097"
"101","-760.4428415435684","-366.84653708434274","-364.4373331261735"
"102","-758.7662102401788","-812.9734440089073","-628.878683288903"
"103","-746.3809079313393","-1.728440252723113","-615.2269106552452"
"104","-364.1019064325824","-234.93555324936372","-748.0680348671704"
"105","-372.28006227724757","-127.40397564805","-150.69691171345994"
"106","-480.17788055493344","-126.97138218013684","-369.0581438130998"
"107","-361.2752228530327","-122.34891843526778","-485.5371659729911"
"108","-268.62117816015893","-741.3229187011736","-121.55617020442693"
"109","-740.76657304107","-123.74577976783415","-624.2283041899306"
"110","-842.6143032598803","-126.81563157441114","-127.02249005993028"
"111","-343.78633790043114","-240.7245199260935","-126.42006751752275"
"112","-253.25742357879503","-725.9693976817605","-478.6859009704507"
"113","-375.75748816925733","-241.83188488466664","-245.386861574502"
"114","-127.10649590874188","-253.4920192754294","-245.4803357457932"
"115","-855.7770281201945","-856.7434798626956","-722.8319601347065"
"116","-258.5539453077163","-733.4123563710385","-615.9734633659884"
"117","-251.98170978855453","-602.1772893506514","-250.65694477999824"
"118","-628.0928203621542","-254.63894830078036","-361.9502422969117"
"119","-741.9310487265315","-624.278480543888","-126.49448238166302"
"120","-122.51319324418384","-238.01307222801694","-606.5763214911248"
"121","-751.0230926378633","-316.21636833928227","-267.9429403541137"
"122","-373.8918326691211","-738.5048390733832","-405.46765364363074"
"123","-252.33804435782136","-3.7289719410849647","-627.6035083131197"
"124","-254.2331209854943","-250.2781619332873","-374.3312685604425"
"125","-241.58983118690512","-248.971678599174","-423.7590110049731"
"126","-393.5372651847977","-371.13239997245427","-127.29996680612555"
"127","-363.99654939860835","-363.562823275475","-236.90520750975847"
"128","-354.04126666039207","-254.3101719455957","-249.28281793350365"
"129","-619.1011914084496","-131.805410601048","-518.6712576328836"
"130","-359.7425162817349","-379.0530415397763","-127.82709809123061"
"131","-363.00961528787286","-483.7986079896173","-486.29899849716463"
"132","-375.14229821892735","-492.8011774939644","-124.54901351397056"
"133","-248.75391490400068","-254.0591921903828","-367.3275887862448"
"134","-244.98216217669645","-822.4358798919892","-625.0411501597636"
"135","-254.28109367242845","-377.3571986118354","-759.8825532375758"
"136","-359.6219459610358","-494.95994368396316","-367.7953525143513"
"137","-364.02311083786935","-364.2193786423973","-602.9079343278323"
"138","-244.15399886341936","-741.9953403426082","-488.6507146982818"
"139","-253.74288577901544","-604.3155797827948","-478.395704028197"
"140","-623.2443864081838","-494.46198020575747","-358.7595592381024"
"141","-251.2229895596289","-962.5887588249536","-604.3684605144838"
"142","-210.42071565485605","-375.6608306818358","-772.2430537104963"
"143","-256.11445716465266","-377.8680877837245","-372.7307215233145"
"144","-252.0485890978244","-372.88654902024183","-247.28398735460095"
"145","-694.7222103805866","-488.03778003868996","-247.7609540059671"
"146","-744.3355959059716","-678.4740461924457","-252.72402499819722"
"147","-366.8950712926468","-252.74963133664863","-244.97033851437243"
"148","-254.41162138259693","-728.3699115824627","-238.29496423255063"
"149","-253.52026111148777","-374.23047366700393","-726.9043540826042"
"150","undefined","undefined","-738.9563163731026"
"151","undefined","undefined","-614.5920750839446"
"152","undefined","undefined","-79.9585902605596"
"153","undefined","undefined","-361.0391165909497"
"154","undefined","undefined","-494.2984972803201"
"155","undefined","undefined","-365.2025948442079"
"156","undefined","undefined","-362.28832832207144"
"157","undefined","undefined","-375.4668023804831"
"158","undefined","undefined","-239.36075313275416"
"159","undefined","undefined","-375.4795055121578"
"160","undefined","undefined","-475.67522428166114"
"161","undefined","undefined","-492.5259601270471"
"162","undefined","undefined","-718.6021075269705"
"163","undefined","undefined","-370.775464321146"
"164","undefined","undefined","-374.66036800571464"
"165","undefined","undefined","-251.56765861228314"
"166","undefined","undefined","-493.421400134398"
"167","undefined","undefined","-845.0140577914403"
"168","undefined","undefined","-294.3627243838008"
"169","undefined","undefined","-371.5683423511469"
"170","undefined","undefined","-718.3235861826339"
"171","undefined","undefined","-125.1280327870788"
"172","undefined","undefined","-252.11868807030476"
"173","undefined","undefined","-680.6874271084845"
"174","undefined","undefined","-573.8361135328558"
"175","undefined","undefined","-725.9262877393135"
"176","undefined","undefined","-252.7268290096643"
"177","undefined","undefined","-755.4840993877016"
"178","undefined","undefined","-375.9374048581323"